eventid,venueid,catid,dateid,eventname,starttime
2390,241,7,1872,The Country Girl,2/15/08 15:00
2391,230,7,2057,Glengarry Glen Ross,8/19/08 15:00
2392,248,7,2012,Rock 'n' Roll,7/5/08 14:30
2393,229,7,2105,Romeo and Juliet,10/6/08 15:00
2394,247,7,2087,The Glass Menagerie,9/18/08 20:00
2395,201,7,1988,Miss Julie,6/11/08 15:00
2396,209,7,1982,Julius Caesar,6/5/08 20:00
2397,228,7,1841,Spring Awakening,1/15/08 20:00
2398,216,7,2131,Spring Awakening,11/1/08 14:00
2399,222,7,1924,Rosencrantz and Guildenstern Are Dead,4/8/08 14:00
2400,201,7,1862,Romeo and Juliet,2/5/08 19:30
2401,202,7,2188,Hedda Gabler,12/28/08 15:00
2402,248,7,1849,Spring Awakening,1/23/08 19:00
2403,201,7,1856,Electra,1/30/08 15:00
2404,225,7,2041,Electra,8/3/08 19:30
2405,217,7,1950,Wicked,5/1/08 20:00
2406,219,7,1892,Electra,3/7/08 14:30
2407,223,7,2148,Our Town,11/18/08 14:30
2408,219,7,1932,A Midsummer Night's Dream,4/16/08 19:30
2409,249,7,2150,The Country Girl,11/20/08 14:30
2410,215,7,2122,A Tale of Two Cities,10/23/08 19:30
2411,248,7,2109,Thurgood,10/10/08 19:30
2412,218,7,1911,Spring Awakening,3/26/08 19:00
2413,245,7,2075,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,9/6/08 20:00
2414,205,7,1894,November,3/9/08 14:30
2415,227,7,2104,Hamlet,10/5/08 19:30
2416,205,7,2128,Glengarry Glen Ross,10/29/08 15:00
2417,217,7,1977,Miss Julie,5/1/08 19:00
2418,230,7,2124,The Cherry Orchard,10/25/08 15:00
2419,226,7,2147,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,11/17/08 14:30
2420,214,7,1941,The Tempest,4/25/08 19:30
2421,240,7,1865,Macbeth,2/8/08 15:00
2422,243,7,2134,The 39 Steps,11/4/08 14:00
2423,226,7,2122,Electra,10/23/08 14:30
2424,241,7,2177,Glengarry Glen Ross,12/17/08 20:00
2425,231,7,2007,The 39 Steps,6/30/08 15:00
2426,244,7,1866,A Man For All Seasons,2/9/08 20:00
2427,220,7,1974,Oedipus the King,5/1/08 15:00
2428,243,7,1854,The Frogs,1/28/08 19:00
2429,246,7,2189,Macbeth,12/29/08 19:30
2430,231,7,1984,To Be or Not To Be,6/7/08 14:00
2431,232,7,2189,Rock 'n' Roll,12/29/08 15:00
2432,227,7,1870,Cirque du Soleil,2/13/08 19:30
2433,245,7,2156,A Midsummer Night's Dream,11/26/08 15:00
2434,208,7,2032,Thurgood,7/25/08 14:00
2435,218,7,2184,The Caretaker,12/24/08 19:30
2436,220,7,1875,Rosencrantz and Guildenstern Are Dead,2/18/08 15:00
2437,221,7,2059,The Caretaker,8/21/08 19:00
2438,229,7,1836,Rhinoceros,1/10/08 14:00
2439,206,7,2149,Spring Awakening,11/19/08 15:00
2440,220,7,2122,A Man For All Seasons,10/23/08 14:30
2441,236,7,1981,A Doll's House,6/4/08 15:00
2442,226,7,2189,The Caretaker,12/29/08 19:00
2443,229,7,2082,Wicked,9/13/08 19:30
2444,224,7,2145,A Doll's House,11/15/08 20:00
2445,204,7,1976,Rosencrantz and Guildenstern Are Dead,5/1/08 19:30
2446,233,7,2165,Electra,12/5/08 14:00
2447,232,7,2020,Romeo and Juliet,7/13/08 14:30
2448,242,7,2130,The Caucasian Chalk Circle,10/31/08 14:00
2449,200,7,2083,Julius Caesar,9/14/08 19:00
2450,203,7,2164,Uncle Vanya,12/4/08 14:30
2451,214,7,1975,Romeo and Juliet,5/1/08 14:00
2452,237,7,2169,Spring Awakening,12/9/08 14:30
2453,224,7,2006,A Tale of Two Cities,6/29/08 19:00
2454,234,7,1992,Waiting for Godot,6/15/08 20:00
2455,208,7,2000,King Lear,6/23/08 19:30
2456,212,7,2154,Woyzeck,11/24/08 15:00
2457,233,7,2006,King Lear,6/29/08 19:00
2458,231,7,2041,The Homecoming,8/3/08 20:00
2459,206,7,2064,Hamlet,8/26/08 14:00
2460,203,7,1920,The Country Girl,4/4/08 14:30
2461,248,7,2167,Endgame,12/7/08 15:00
2462,239,7,1947,The Homecoming,5/1/08 14:00
2463,243,7,2184,Miss Julie,12/24/08 15:00
2464,200,7,1979,Spring Awakening,6/2/08 19:00
2465,234,7,1870,Electra,2/13/08 14:30
2466,233,7,2026,The Bacchae,7/19/08 14:00
2467,210,7,1954,The Country Girl,5/1/08 19:30
2468,202,7,1882,The Farnsworth Invention,2/25/08 19:00
2469,203,7,1833,Passing Strange,1/7/08 15:00
2470,240,7,1904,Macbeth,3/19/08 15:00
2471,212,7,2111,Cirque du Soleil,10/12/08 19:00
2472,225,7,1850,The Seagull,1/24/08 14:00
2473,210,7,1938,All My Sons,4/22/08 15:00
2474,226,7,1857,Thurgood,1/31/08 15:00
2475,222,7,2119,Rosencrantz and Guildenstern Are Dead,10/20/08 14:30
2476,203,7,2044,Rhinoceros,8/6/08 14:00
2477,228,7,1880,Waiting for Godot,2/23/08 15:00
2478,246,7,2075,A Midsummer Night's Dream,9/6/08 19:30
2479,234,7,2086,Iphigenia,9/17/08 15:00
2480,246,7,2103,Rock 'n' Roll,10/4/08 20:00
2481,221,7,1872,November,2/15/08 20:00
2482,246,7,1898,Macbeth,3/13/08 19:00
2483,229,7,1854,Spring Awakening,1/28/08 14:00
2484,230,7,1944,November,4/28/08 19:30
2485,234,7,2058,Julius Caesar,8/20/08 19:30
2486,238,7,1910,The Tempest,3/25/08 19:00
2487,208,7,1900,Wicked,3/15/08 19:30
2488,236,7,2015,Iphigenia,7/8/08 14:00
2489,227,7,2139,The Cherry Orchard,11/9/08 19:00
2490,204,7,2102,Electra,10/3/08 19:30
2491,222,7,1844,The Country Girl,1/18/08 20:00
2492,224,7,2080,Othello,9/11/08 20:00
2493,220,7,2162,The Cherry Orchard,12/2/08 14:00
2494,203,7,1828,The Caretaker,1/2/08 19:00
2495,205,7,1858,Glengarry Glen Ross,2/1/08 15:00
2496,212,7,2040,The Country Girl,8/2/08 19:30
2497,203,7,2141,The Country Girl,11/11/08 14:00
2498,220,7,1874,All My Sons,2/17/08 19:30
2499,214,7,2016,Spring Awakening,7/9/08 19:00
2500,214,7,2166,The Caucasian Chalk Circle,12/6/08 19:30
2501,220,7,2127,Othello,10/28/08 15:00
2502,248,7,1920,The Country Girl,4/4/08 15:00
2503,210,7,2089,Our Town,9/20/08 14:00
2504,218,7,2016,The Country Girl,7/9/08 20:00
2505,209,7,1860,The Glass Menagerie,2/3/08 14:00
2506,213,7,2148,The Seafarer,11/18/08 14:30
2507,219,7,2022,The 39 Steps,7/15/08 20:00
2508,213,7,1886,Othello,3/1/08 19:00
2509,230,7,1828,Macbeth,1/2/08 14:00
2510,222,7,1857,The Homecoming,1/31/08 15:00
2511,213,7,1847,November,1/21/08 20:00
2512,237,7,1859,The Homecoming,2/2/08 14:00
2513,201,7,2012,Rock 'n' Roll,7/5/08 20:00
2514,230,7,2059,Iphigenia,8/21/08 14:30
2515,231,7,2121,The Caucasian Chalk Circle,10/22/08 15:00
2516,220,7,2015,Julius Caesar,7/8/08 19:00
2517,218,7,1857,Avenue Q,1/31/08 14:30
2518,245,7,2147,Electra,11/17/08 14:30
2519,219,7,1902,Look Back in Anger,3/17/08 20:00
2520,203,7,1904,The Country Girl,3/19/08 20:00
2521,207,7,2125,The Country Girl,10/26/08 15:00
2522,206,7,1952,August: Osage County,5/1/08 20:00
2523,243,7,2004,The Cherry Orchard,6/27/08 14:30
2524,225,7,1875,Macbeth,2/18/08 15:00
2525,221,7,1925,The Tempest,4/9/08 20:00
2526,202,7,1878,The Seafarer,2/21/08 19:30
2527,208,7,2066,Macbeth,8/28/08 14:00
2528,223,7,2034,The Tempest,7/27/08 15:00
2529,248,7,2080,Hamlet,9/11/08 19:30
2530,236,7,1870,Thurgood,2/13/08 14:30
2531,242,7,2094,The 39 Steps,9/25/08 20:00
2532,244,7,1968,A Man For All Seasons,5/1/08 14:00
2533,236,7,1879,August: Osage County,2/22/08 14:30
2534,206,7,2023,Macbeth,7/16/08 14:00
2535,217,7,1913,Rock 'n' Roll,3/28/08 19:30
2536,241,7,2022,The Country Girl,7/15/08 14:00
2537,225,7,1951,Thurgood,5/1/08 20:00
2538,225,7,2098,Rosencrantz and Guildenstern Are Dead,9/29/08 19:30
2539,234,7,1887,Avenue Q,3/2/08 15:00
2540,204,7,1950,As You Like It,5/1/08 19:30
2541,210,7,1842,Passing Strange,1/16/08 19:00
2542,248,7,1898,Romeo and Juliet,3/13/08 20:00
2543,212,7,1903,Waiting for Godot,3/18/08 15:00
2544,224,7,1935,Uncle Vanya,4/19/08 19:00
2545,242,7,2181,Julius Caesar,12/21/08 14:30
2546,226,7,2129,Our Town,10/30/08 20:00
2547,243,7,2046,The Seagull,8/8/08 14:00
2548,207,7,1989,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,6/12/08 20:00
2549,221,7,2017,Miss Julie,7/10/08 14:00
2550,243,7,2064,Romeo and Juliet,8/26/08 20:00
2551,216,7,2119,The Cherry Orchard,10/20/08 14:00
2552,249,7,2168,The Seafarer,12/8/08 15:00
2553,203,7,2098,Avenue Q,9/29/08 14:00
2554,222,7,2179,A Doll's House,12/19/08 14:30
2555,221,7,2091,The Cherry Orchard,9/22/08 19:30
2556,209,7,1974,November,5/1/08 19:00
2557,211,7,1834,The Cherry Orchard,1/8/08 19:30
2558,226,7,1937,Rhinoceros,4/21/08 14:30
2559,225,7,1894,The 39 Steps,3/9/08 20:00
2560,215,7,2135,The Cherry Orchard,11/5/08 20:00
2561,235,7,2176,King Lear,12/16/08 15:00
2562,237,7,2151,Thurgood,11/21/08 15:00
2563,246,7,1872,Hamlet,2/15/08 20:00
2564,218,7,1878,Rhinoceros,2/21/08 20:00
2565,200,7,2103,The Caucasian Chalk Circle,10/4/08 14:00
2566,246,7,1981,Waiting for Godot,6/4/08 14:00
2567,241,7,2002,The Seagull,6/25/08 19:00
2568,241,7,2031,Thurgood,7/24/08 14:00
2569,239,7,2019,Thurgood,7/12/08 19:30
2570,236,7,1853,The Tempest,1/27/08 15:00
2571,220,7,2039,Endgame,8/1/08 20:00
2572,218,7,1847,The Tempest,1/21/08 14:00
2573,228,7,2091,The Glass Menagerie,9/22/08 19:30
2574,239,7,2147,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,11/17/08 19:00
2575,243,7,2170,The Cherry Orchard,12/10/08 14:30
2576,247,7,2008,Miss Julie,7/1/08 14:30
2577,244,7,1873,The 39 Steps,2/16/08 14:00
2578,222,7,2083,As You Like It,9/14/08 20:00
2579,222,7,1944,The Caucasian Chalk Circle,4/28/08 19:00
2580,211,7,2145,Julius Caesar,11/15/08 15:00
2581,215,7,1989,Julius Caesar,6/12/08 19:00
2582,200,7,1934,Spring Awakening,4/18/08 19:00
2583,220,7,1949,November,5/1/08 19:30
2584,243,7,2116,Macbeth,10/17/08 19:00
2585,222,7,2072,A Bronx Tale,9/3/08 19:00
2586,216,7,1913,Macbeth,3/28/08 15:00
2587,215,7,1852,Macbeth,1/26/08 15:00
2588,211,7,1983,A Man For All Seasons,6/6/08 19:30
2589,227,7,1834,The Caucasian Chalk Circle,1/8/08 20:00
2590,242,7,2096,The 39 Steps,9/27/08 19:30
2591,208,7,1932,A Tale of Two Cities,4/16/08 20:00
2592,216,7,2030,The Caretaker,7/23/08 14:30
2593,243,7,2099,Hamlet,9/30/08 15:00
2594,231,7,2125,Julius Caesar,10/26/08 14:30
2595,232,7,2071,Our Town,9/2/08 14:00
2596,214,7,1842,Oedipus the King,1/16/08 14:00
2597,247,7,2132,Julius Caesar,11/2/08 15:00
2598,235,7,2037,Woyzeck,7/30/08 14:30
2599,230,7,2031,Oedipus the King,7/24/08 15:00
2600,248,7,1834,As You Like It,1/8/08 14:00
2601,233,7,2078,Young Frankenstein,9/9/08 19:00
2602,224,7,1836,The 39 Steps,1/10/08 15:00
2603,240,7,2112,Spring Awakening,10/13/08 14:30
2604,220,7,2166,The Seafarer,12/6/08 14:00
2605,237,7,1836,Our Town,1/10/08 19:00
2606,241,7,1830,The Caretaker,1/4/08 14:30
2607,220,7,2084,The Farnsworth Invention,9/15/08 19:00
2608,230,7,2147,A Man For All Seasons,11/17/08 20:00
2609,249,7,1862,The Country Girl,2/5/08 19:00
2610,206,7,1924,Waiting for Godot,4/8/08 15:00
2611,221,7,1907,The Seafarer,3/22/08 15:00
2612,211,7,2180,Rhinoceros,12/20/08 14:00
2613,223,7,2113,Macbeth,10/14/08 20:00
2614,234,7,1894,All My Sons,3/9/08 19:30
2615,246,7,1905,The Seagull,3/20/08 19:00
2616,204,7,2020,Cirque du Soleil,7/13/08 20:00
2617,220,7,2008,Passing Strange,7/1/08 20:00
2618,235,7,1878,Look Back in Anger,2/21/08 20:00
2619,206,7,2163,A Man For All Seasons,12/3/08 19:00
2620,248,7,1984,Avenue Q,6/7/08 14:00
2621,222,7,1855,Hedda Gabler,1/29/08 14:00
2622,215,7,2165,The Cherry Orchard,12/5/08 15:00
2623,247,7,1831,A Man For All Seasons,1/5/08 19:30
2624,213,7,1965,Wicked,5/1/08 19:00
2625,207,7,1926,Glengarry Glen Ross,4/10/08 14:00
2626,235,7,2116,Spring Awakening,10/17/08 19:30
2627,238,7,1977,Endgame,5/1/08 15:00
2628,224,7,1846,Uncle Vanya,1/20/08 19:30
2629,221,7,2027,A Bronx Tale,7/20/08 19:00
2630,236,7,2167,Our Town,12/7/08 19:00
2631,212,7,2096,Spring Awakening,9/27/08 14:30
2632,230,7,2064,November,8/26/08 20:00
2633,204,7,1929,Cirque du Soleil,4/13/08 20:00
2634,206,7,1840,Uncle Vanya,1/14/08 20:00
2635,223,7,2023,Rock 'n' Roll,7/16/08 19:00
2636,218,7,2168,Hedda Gabler,12/8/08 19:30
2637,208,7,1947,As You Like It,5/1/08 14:00
2638,233,7,1887,Young Frankenstein,3/2/08 14:00
2639,211,7,2132,Our Town,11/2/08 20:00
2640,249,7,1858,The Country Girl,2/1/08 19:00
2641,205,7,1915,Hamlet,3/30/08 19:30
2642,217,7,2033,The Caretaker,7/26/08 14:30
2643,235,7,2016,Julius Caesar,7/9/08 19:00
2644,227,7,1973,Rock 'n' Roll,5/1/08 19:00
2645,239,7,1915,The Country Girl,3/30/08 19:00
2646,249,7,2046,Passing Strange,8/8/08 14:00
2647,203,7,1912,The Bacchae,3/27/08 19:30
2648,241,7,2186,Rhinoceros,12/26/08 14:30
2649,238,7,1906,Electra,3/21/08 19:00
2650,222,7,2005,August: Osage County,6/28/08 15:00
2651,239,7,2116,Rhinoceros,10/17/08 14:00
2652,210,7,1862,Young Frankenstein,2/5/08 20:00
2653,205,7,1918,The Frogs,4/2/08 20:00
2654,236,7,1897,A Midsummer Night's Dream,3/12/08 20:00
2655,241,7,2069,Uncle Vanya,8/31/08 19:00
2656,221,7,1899,The Homecoming,3/14/08 15:00
2657,200,7,2169,To Be or Not To Be,12/9/08 14:00
2658,201,7,2127,Rhinoceros,10/28/08 14:30
2659,214,7,2136,The Bacchae,11/6/08 19:30
2660,201,7,2152,The Glass Menagerie,11/22/08 14:30
2661,206,7,1997,Our Town,6/20/08 14:00
2662,224,7,1899,A Bronx Tale,3/14/08 14:30
2663,237,7,2076,Thurgood,9/7/08 15:00
2664,211,7,1930,The Glass Menagerie,4/14/08 20:00
2665,246,7,1878,Hedda Gabler,2/21/08 20:00
2666,245,7,1932,Cirque du Soleil,4/16/08 14:00
2667,202,7,2191,Woyzeck,12/31/08 15:00
2668,239,7,1854,Macbeth,1/28/08 14:00
2669,214,7,1896,The Farnsworth Invention,3/11/08 14:00
2670,213,7,1989,Iphigenia,6/12/08 14:30
2671,210,7,2181,Passing Strange,12/21/08 19:30
2672,238,7,1936,All My Sons,4/20/08 20:00
2673,243,7,2154,A Tale of Two Cities,11/24/08 19:00
2674,201,7,1961,Rosencrantz and Guildenstern Are Dead,5/1/08 19:30
2675,249,7,2003,As You Like It,6/26/08 19:00
2676,206,7,1868,November,2/11/08 19:30
2677,202,7,1931,Rock 'n' Roll,4/15/08 14:30
2678,224,7,2018,Rosencrantz and Guildenstern Are Dead,7/11/08 15:00
2679,219,7,2070,The Caucasian Chalk Circle,9/1/08 19:00
2680,226,7,1907,Uncle Vanya,3/22/08 15:00
2681,205,7,2009,Thurgood,7/2/08 20:00
2682,243,7,2076,Macbeth,9/7/08 20:00
2683,236,7,1861,A Bronx Tale,2/4/08 19:30
2684,248,7,2070,As You Like It,9/1/08 14:00
2685,236,7,1902,The Seagull,3/17/08 19:00
2686,200,7,1921,Electra,4/5/08 15:00
2687,202,7,1975,Macbeth,5/1/08 14:30
2688,247,7,1934,The Cherry Orchard,4/18/08 19:00
2689,231,7,2093,The Seagull,9/24/08 19:00
2690,214,7,1903,To Be or Not To Be,3/18/08 14:00
2691,222,7,2181,The Farnsworth Invention,12/21/08 14:30
2692,205,7,1847,A Bronx Tale,1/21/08 19:00
2693,230,7,1868,Hedda Gabler,2/11/08 14:00
2694,221,7,1915,Rosencrantz and Guildenstern Are Dead,3/30/08 14:30
2695,219,7,2019,Iphigenia,7/12/08 20:00
2696,242,7,2185,The Country Girl,12/25/08 14:00
2697,215,7,1975,King Lear,5/1/08 19:30
2698,233,7,1886,The Frogs,3/1/08 14:30
2699,238,7,1859,Waiting for Godot,2/2/08 20:00
2700,204,7,2015,Spring Awakening,7/8/08 20:00
2701,216,7,2036,Waiting for Godot,7/29/08 19:30
2702,200,7,2032,The 39 Steps,7/25/08 19:00
2703,226,7,1884,August: Osage County,2/27/08 15:00
2704,205,7,2056,Miss Julie,8/18/08 19:00
2705,220,7,2116,A Tale of Two Cities,10/17/08 14:00
2706,205,7,2092,Rhinoceros,9/23/08 20:00
2707,208,7,1999,Hedda Gabler,6/22/08 14:30
2708,213,7,2143,A Man For All Seasons,11/13/08 19:00
2709,246,7,1869,Rhinoceros,2/12/08 19:00
2710,209,7,1903,The Frogs,3/18/08 19:30
2711,200,7,2177,Uncle Vanya,12/17/08 14:00
2712,241,7,2090,Julius Caesar,9/21/08 20:00
2713,247,7,2074,The Homecoming,9/5/08 15:00
2714,211,7,2182,The Frogs,12/22/08 14:30
2715,203,7,1960,Young Frankenstein,5/1/08 14:00
2716,220,7,1893,Miss Julie,3/8/08 14:00
2717,217,7,1964,Rhinoceros,5/1/08 19:30
2718,236,7,1941,Romeo and Juliet,4/25/08 14:30
2719,224,7,2142,A Midsummer Night's Dream,11/12/08 14:00
2720,200,7,1899,All My Sons,3/14/08 14:30
2721,205,7,1990,Iphigenia,6/13/08 14:30
2722,241,7,2090,Endgame,9/21/08 14:30
2723,245,7,1844,Macbeth,1/18/08 20:00
2724,203,7,2102,King Lear,10/3/08 14:30
2725,218,7,1876,Julius Caesar,2/19/08 14:30
2726,228,7,1863,Look Back in Anger,2/6/08 20:00
2727,238,7,1828,Look Back in Anger,1/2/08 19:00
2728,223,7,1986,The Caucasian Chalk Circle,6/9/08 14:30
2729,200,7,1829,Hedda Gabler,1/3/08 14:00
2730,245,7,1903,The Seagull,3/18/08 20:00
2731,217,7,2078,Oedipus the King,9/9/08 20:00
2732,231,7,2066,Rosencrantz and Guildenstern Are Dead,8/28/08 19:30
2733,216,7,1931,A Bronx Tale,4/15/08 14:30
2734,229,7,2073,The Glass Menagerie,9/4/08 14:00
2735,222,7,1970,August: Osage County,5/1/08 14:00
2736,222,7,1981,The Cherry Orchard,6/4/08 15:00
2737,200,7,1980,Rock 'n' Roll,6/3/08 19:30
2738,232,7,2129,The Farnsworth Invention,10/30/08 15:00
2739,216,7,2175,Hamlet,12/15/08 20:00
2740,224,7,2033,The Frogs,7/26/08 14:00
2741,220,7,2079,Othello,9/10/08 14:30
2742,209,7,1877,Spring Awakening,2/20/08 14:00
2743,219,7,1962,The Tempest,5/1/08 15:00
2744,217,7,2036,November,7/29/08 20:00
2745,212,7,2168,All My Sons,12/8/08 19:00
2746,237,7,1926,Romeo and Juliet,4/10/08 15:00
2747,215,7,2181,Wicked,12/21/08 14:00
2748,247,7,2005,Iphigenia,6/28/08 15:00
2749,204,7,2059,Woyzeck,8/21/08 14:30
2750,218,7,2033,A Doll's House,7/26/08 14:30
2751,224,7,1884,A Bronx Tale,2/27/08 20:00
2752,211,7,2045,The Country Girl,8/7/08 20:00
2753,208,7,2096,Look Back in Anger,9/27/08 19:00
2754,213,7,1860,To Be or Not To Be,2/3/08 15:00
2755,243,7,2153,Avenue Q,11/23/08 20:00
2756,240,7,1957,The Caretaker,5/1/08 19:00
2757,247,7,2044,Macbeth,8/6/08 15:00
2758,219,7,1943,Macbeth,4/27/08 14:00
2759,212,7,2080,The Homecoming,9/11/08 19:00
2760,246,7,2155,All My Sons,11/25/08 20:00
2761,232,7,1892,Othello,3/7/08 20:00
2762,245,7,2079,Electra,9/10/08 14:00
2763,224,7,2062,Rhinoceros,8/24/08 19:00
2764,216,7,2047,The Seagull,8/9/08 19:00
2765,204,7,1982,As You Like It,6/5/08 19:30
2766,231,7,2161,Uncle Vanya,12/1/08 20:00
2767,247,7,2027,Uncle Vanya,7/20/08 14:30
2768,238,7,2179,Our Town,12/19/08 19:30
2769,232,7,2174,A Tale of Two Cities,12/14/08 14:00
2770,231,7,2021,A Streetcar Named Desire,7/14/08 14:00
2771,208,7,2188,A Midsummer Night's Dream,12/28/08 19:30
2772,249,7,1828,Young Frankenstein,1/2/08 14:30
2773,217,7,2060,A Tale of Two Cities,8/22/08 14:00
2774,243,7,1864,Uncle Vanya,2/7/08 15:00
2775,226,7,2112,The Glass Menagerie,10/13/08 15:00
2776,211,7,1891,Spring Awakening,3/6/08 14:30
2777,233,7,2041,A Tale of Two Cities,8/3/08 20:00
2778,233,7,1997,The 39 Steps,6/20/08 19:30
2779,235,7,1987,The Glass Menagerie,6/10/08 20:00
2780,222,7,1938,The Bacchae,4/22/08 19:00
2781,216,7,1842,Avenue Q,1/16/08 19:30
2782,243,7,1851,The Caretaker,1/25/08 19:30
2783,230,7,1985,As You Like It,6/8/08 15:00
2784,243,7,2094,All My Sons,9/25/08 15:00
2785,205,7,1982,Spring Awakening,6/5/08 19:30
2786,216,7,2138,Hamlet,11/8/08 15:00
2787,231,7,1843,A Streetcar Named Desire,1/17/08 14:00
2788,219,7,2119,A Bronx Tale,10/20/08 19:30
2789,203,7,1933,Thurgood,4/17/08 14:00
2790,210,7,2076,Miss Julie,9/7/08 20:00
2791,249,7,1955,Wicked,5/1/08 19:00
2792,233,7,1918,Othello,4/2/08 14:30
2793,228,7,2187,A Christmas Carol,12/27/08 14:30
2794,227,7,1943,Hamlet,4/27/08 14:00
2795,219,7,1946,Young Frankenstein,4/30/08 14:30
2796,205,7,2141,Electra,11/11/08 15:00
2797,211,7,1847,August: Osage County,1/21/08 14:00
2798,232,7,2155,Hedda Gabler,11/25/08 19:00
2799,232,7,1892,Macbeth,3/7/08 20:00
2800,223,7,1892,Rosencrantz and Guildenstern Are Dead,3/7/08 14:30
2801,221,7,1933,A Doll's House,4/17/08 19:00
2802,237,7,2100,Waiting for Godot,10/1/08 14:30
2803,219,7,2096,King Lear,9/27/08 19:30
2804,229,7,1997,Rosencrantz and Guildenstern Are Dead,6/20/08 15:00
2805,242,7,2125,Julius Caesar,10/26/08 19:30
2806,219,7,2072,Rosencrantz and Guildenstern Are Dead,9/3/08 19:00
2807,216,7,1982,The Bacchae,6/5/08 19:00
2808,203,7,1955,Young Frankenstein,5/1/08 19:30
2809,213,7,1828,The Cherry Orchard,1/2/08 14:30
2810,217,7,2058,The Country Girl,8/20/08 14:30
2811,207,7,1827,Spring Awakening,1/1/08 15:00
2812,243,7,2147,The Country Girl,11/17/08 20:00
2813,209,7,1989,Waiting for Godot,6/12/08 20:00
2814,239,7,1896,Woyzeck,3/11/08 20:00
2815,220,7,2103,The 39 Steps,10/4/08 14:00
2816,236,7,2160,Oedipus the King,11/30/08 20:00
2817,215,7,2028,A Tale of Two Cities,7/21/08 19:30
2818,218,7,2178,The Cherry Orchard,12/18/08 15:00
2819,219,7,1881,A Streetcar Named Desire,2/24/08 19:00
2820,222,7,2014,Hamlet,7/7/08 20:00
2821,224,7,1859,Cirque du Soleil,2/2/08 14:00
2822,209,7,1918,The Bacchae,4/2/08 14:00
2823,205,7,1834,A Midsummer Night's Dream,1/8/08 15:00
2824,248,7,1828,Cirque du Soleil,1/2/08 19:00
2825,222,7,1951,Rhinoceros,5/1/08 20:00
2826,216,7,1855,Rhinoceros,1/29/08 15:00
2827,204,7,2102,To Be or Not To Be,10/3/08 20:00
2828,238,7,2066,Wicked,8/28/08 14:30
2829,222,7,2075,Thurgood,9/6/08 14:00
2830,231,7,2153,The Country Girl,11/23/08 15:00
2831,204,7,1965,A Streetcar Named Desire,5/1/08 15:00
2832,245,7,1848,All My Sons,1/22/08 19:00
2833,208,7,2154,Rhinoceros,11/24/08 19:30
2834,212,7,1839,August: Osage County,1/13/08 19:30
2835,220,7,1905,Macbeth,3/20/08 14:30
2836,238,7,2173,Waiting for Godot,12/13/08 14:00
2837,229,7,1913,The Caucasian Chalk Circle,3/28/08 15:00
2838,243,7,1986,A Midsummer Night's Dream,6/9/08 14:30
2839,232,7,1896,The Homecoming,3/11/08 15:00
2840,200,7,2058,Woyzeck,8/20/08 14:00
2841,204,7,1829,The Caucasian Chalk Circle,1/3/08 19:30
2842,231,7,2073,The Homecoming,9/4/08 19:00
2843,239,7,2164,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,12/4/08 14:30
2844,223,7,2029,Othello,7/22/08 19:30
2845,248,7,1978,The Glass Menagerie,6/1/08 20:00
2846,222,7,1865,To Be or Not To Be,2/8/08 14:00
2847,200,7,1906,For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf,3/21/08 15:00
2848,234,7,2085,Macbeth,9/16/08 14:00
2849,215,7,2078,The Frogs,9/9/08 19:00
2850,205,7,1889,The Bacchae,3/4/08 19:00
2851,204,7,2073,November,9/4/08 19:30
2852,202,7,2173,August: Osage County,12/13/08 19:30
2853,242,7,2034,King Lear,7/27/08 19:00
2854,214,7,2102,The Cherry Orchard,10/3/08 19:00
2855,215,7,1994,Spring Awakening,6/17/08 20:00
2856,217,7,2051,As You Like It,8/13/08 19:00
2857,205,7,1920,Spring Awakening,4/4/08 15:00
2858,221,7,2003,August: Osage County,6/26/08 20:00
2859,233,7,2123,A Streetcar Named Desire,10/24/08 19:30
2860,218,7,1998,As You Like It,6/21/08 14:00
2861,217,7,1892,A Man For All Seasons,3/7/08 19:30
2862,241,7,2133,Spring Awakening,11/3/08 14:00
2863,231,7,2139,The Caretaker,11/9/08 15:00
2864,218,7,1857,King Lear,1/31/08 14:30
2865,219,7,2154,The 39 Steps,11/24/08 14:00
2866,247,7,2185,A Midsummer Night's Dream,12/25/08 20:00
2867,201,7,2182,Rhinoceros,12/22/08 19:30
2868,214,7,1899,The Caretaker,3/14/08 14:30
2869,212,7,2038,The Seafarer,7/31/08 20:00
2870,226,7,2009,Hedda Gabler,7/2/08 14:00
2871,227,7,1892,King Lear,3/7/08 19:00
2872,236,7,1899,A Tale of Two Cities,3/14/08 20:00
2873,223,7,2173,August: Osage County,12/13/08 15:00
2874,219,7,1876,Miss Julie,2/19/08 14:00
2875,245,7,1871,The Farnsworth Invention,2/14/08 20:00
2876,206,7,2090,The Homecoming,9/21/08 19:00
2877,236,7,1922,Thurgood,4/6/08 19:30
2878,225,7,2121,Macbeth,10/22/08 15:00
2879,209,7,1923,Julius Caesar,4/7/08 14:30
2880,210,7,2008,The Glass Menagerie,7/1/08 20:00
2881,226,7,1953,The Homecoming,5/1/08 19:00
2882,235,7,2065,Avenue Q,8/27/08 14:30
